Local Government Area,Year,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Police Region
Alpine,2019,114,161,26,48,50,,2 Eastern
Alpine,2020,92,220,24,47,52,4,2 Eastern
Alpine,2021,103,138,21,37,62,39,2 Eastern
Alpine,2022,86,149,16,33,61,25,2 Eastern
Ararat,2019,223,376,65,81,165,2,4 Western
Ararat,2020,206,386,52,62,186,3,4 Western
Ararat,2021,218,393,85,86,230,75,4 Western
Ararat,2022,226,343,74,80,224,13,4 Western
Ballarat,2019,1372,5061,204,372,1105,15,4 Western
Ballarat,2020,1131,5837,202,319,1212,10,4 Western
Ballarat,2021,1213,3884,180,289,1277,345,4 Western
Ballarat,2022,1166,4626,157,280,1238,127,4 Western
Banyule,2019,957,4063,223,309,1442,11,1 North West Metro
Banyule,2020,939,4220,311,281,1501,11,1 North West Metro
Banyule,2021,945,3174,328,249,1141,449,1 North West Metro
Banyule,2022,899,2698,216,204,1181,46,1 North West Metro
Bass Coast,2019,376,992,78,119,216,2,2 Eastern
Bass Coast,2020,383,944,83,76,288,11,2 Eastern
Bass Coast,2021,557,897,72,91,406,74,2 Eastern
Bass Coast,2022,595,960,64,92,372,64,2 Eastern
Baw Baw,2019,618,1761,165,182,446,8,2 Eastern
Baw Baw,2020,575,2092,237,193,476,15,2 Eastern
Baw Baw,2021,663,1470,215,220,702,314,2 Eastern
Baw Baw,2022,788,1218,166,209,596,60,2 Eastern
Bayside,2019,452,2508,129,180,331,6,3 Southern Metro
Bayside,2020,399,3191,106,124,371,4,3 Southern Metro
Bayside,2021,498,2337,133,135,430,293,3 Southern Metro
Bayside,2022,484,2304,66,94,344,53,3 Southern Metro
Benalla,2019,192,433,50,57,141,5,2 Eastern
Benalla,2020,200,446,44,63,176,7,2 Eastern
Benalla,2021,212,423,49,73,208,30,2 Eastern
Benalla,2022,243,378,42,81,219,16,2 Eastern
Boroondara,2019,558,4292,177,137,396,11,2 Eastern
Boroondara,2020,612,5272,130,155,345,7,2 Eastern
Boroondara,2021,647,4207,138,145,493,324,2 Eastern
Boroondara,2022,707,3995,108,137,441,60,2 Eastern
Brimbank,2019,2441,8761,562,686,2196,15,1 North West Metro
Brimbank,2020,2598,9500,569,634,2159,20,1 North West Metro
Brimbank,2021,2164,7568,618,573,1941,1649,1 North West Metro
Brimbank,2022,2094,7274,479,540,1718,225,1 North West Metro
Buloke,2019,40,109,32,12,19,2,4 Western
Buloke,2020,45,148,35,10,17,,4 Western
Buloke,2021,52,91,34,6,36,25,4 Western
Buloke,2022,45,87,42,7,26,18,4 Western
Campaspe,2019,456,1643,109,141,568,3,4 Western
Campaspe,2020,451,1501,69,102,669,6,4 Western
Campaspe,2021,369,1070,107,112,623,175,4 Western
Campaspe,2022,458,1024,86,94,581,176,4 Western
Cardinia,2019,841,2788,178,246,632,12,3 Southern Metro
Cardinia,2020,919,3319,245,254,702,11,3 Southern Metro
Cardinia,2021,913,2576,223,214,866,771,3 Southern Metro
Cardinia,2022,1032,2450,143,216,621,156,3 Southern Metro
Casey,2019,3231,9775,781,655,1766,9,3 Southern Metro
Casey,2020,3189,10615,846,589,1896,10,3 Southern Metro
Casey,2021,3239,7672,975,599,2140,1512,3 Southern Metro
Casey,2022,3146,7641,642,501,2013,211,3 Southern Metro
Central Goldfields,2019,233,354,70,63,192,5,4 Western
Central Goldfields,2020,207,370,37,39,206,7,4 Western
Central Goldfields,2021,201,295,52,61,176,36,4 Western
Central Goldfields,2022,253,297,42,48,147,36,4 Western
Colac-Otway,2019,323,652,52,95,196,2,4 Western
Colac-Otway,2020,230,696,70,87,194,3,4 Western
Colac-Otway,2021,267,428,65,104,210,153,4 Western
Colac-Otway,2022,257,452,57,78,220,150,4 Western
Corangamite,2019,106,256,23,31,71,,4 Western
Corangamite,2020,131,284,23,31,76,4,4 Western
Corangamite,2021,134,275,22,30,105,116,4 Western
Corangamite,2022,122,296,28,27,94,13,4 Western
Darebin,2019,1387,8093,275,461,1019,9,1 North West Metro
Darebin,2020,1419,8752,330,380,1003,11,1 North West Metro
Darebin,2021,1472,6362,644,519,1421,1057,1 North West Metro
Darebin,2022,1347,5742,479,409,1119,179,1 North West Metro
East Gippsland,2019,865,1272,159,281,603,13,2 Eastern
East Gippsland,2020,866,1749,148,237,631,7,2 Eastern
East Gippsland,2021,909,1382,233,238,684,182,2 Eastern
