Year,Offence Division,Incidents Recorded,Local Government Area
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,120,Ballarat
2022,A Crimes against the person,147,Ballarat
2022,A Crimes against the person,53,Ballarat
2022,A Crimes against the person,222,Ballarat
2022,A Crimes against the person,185,Ballarat
2022,A Crimes against the person,184,Ballarat
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,6,Ballarat
2022,A Crimes against the person,21,Ballarat
2022,A Crimes against the person,5,Ballarat
2022,A Crimes against the person,3,Ballarat
2022,A Crimes against the person,26,Ballarat
2022,A Crimes against the person,8,Ballarat
2022,A Crimes against the person,4,Ballarat
2022,A Crimes against the person,3,Ballarat
2022,A Crimes against the person,22,Ballarat
2022,A Crimes against the person,25,Ballarat
2022,A Crimes against the person,45,Ballarat
2022,A Crimes against the person,2,Ballarat
2022,A Crimes against the person,16,Ballarat
2022,A Crimes against the person,59,Ballarat
2022,B Property and deception offences,82,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,2,Ballarat
2022,B Property and deception offences,708,Ballarat
2022,B Property and deception offences,61,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,151,Ballarat
2022,B Property and deception offences,3,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,B Property and deception offences,312,Ballarat
2022,B Property and deception offences,180,Ballarat
2022,B Property and deception offences,367,Ballarat
2022,B Property and deception offences,1301,Ballarat
2022,B Property and deception offences,388,Ballarat
2022,B Property and deception offences,93,Ballarat
2022,B Property and deception offences,104,Ballarat
2022,B Property and deception offences,621,Ballarat
2022,B Property and deception offences,48,Ballarat
2022,B Property and deception offences,188,Ballarat
2022,B Property and deception offences,10,Ballarat
2022,B Property and deception offences,3,Ballarat
2022,B Property and deception offences,1,Ballarat
2022,C Drug offences,34,Ballarat
2022,C Drug offences,11,Ballarat
2022,C Drug offences,1,Ballarat
2022,C Drug offences,110,Ballarat
2022,C Drug offences,1,Ballarat
2022,D Public order and security offences,61,Ballarat
2022,D Public order and security offences,117,Ballarat
2022,D Public order and security offences,8,Ballarat
2022,D Public order and security offences,53,Ballarat
2022,D Public order and security offences,19,Ballarat
2022,D Public order and security offences,4,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,D Public order and security offences,13,Ballarat
2022,D Public order and security offences,1,Ballarat
2022,E Justice procedures offences,1,Ballarat
2022,E Justice procedures offences,253,Ballarat
2022,E Justice procedures offences,8,Ballarat
2022,E Justice procedures offences,4,Ballarat
2022,E Justice procedures offences,26,Ballarat
2022,E Justice procedures offences,571,Ballarat
2022,E Justice procedures offences,36,Ballarat
2022,E Justice procedures offences,318,Ballarat
2022,E Justice procedures offences,21,Ballarat
2022,F Other offences,1,Ballarat
2022,F Other offences,2,Ballarat
2022,F Other offences,3,Ballarat
2022,F Other offences,118,Ballarat
2022,F Other offences,3,Ballarat
2021,A Crimes against the person,2,Ballarat
2021,A Crimes against the person,150,Ballarat
2021,A Crimes against the person,136,Ballarat
2021,A Crimes against the person,34,Ballarat
2021,A Crimes against the person,273,Ballarat
2021,A Crimes against the person,171,Ballarat
2021,A Crimes against the person,211,Ballarat
2021,A Crimes against the person,4,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,15,Ballarat
2021,A Crimes against the person,2,Ballarat
2021,A Crimes against the person,1,Ballarat
2021,A Crimes against the person,18,Ballarat
2021,A Crimes against the person,16,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,7,Ballarat
2021,A Crimes against the person,37,Ballarat
2021,A Crimes against the person,20,Ballarat
2021,A Crimes against the person,28,Ballarat
2021,A Crimes against the person,12,Ballarat
2021,A Crimes against the person,62,Ballarat
2021,B Property and deception offences,67,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,668,Ballarat
2021,B Property and deception offences,77,Ballarat
2021,B Property and deception offences,5,Ballarat
2021,B Property and deception offences,124,Ballarat
2021,B Property and deception offences,3,Ballarat
2021,B Property and deception offences,1,Ballarat
2021,B Property and deception offences,280,Ballarat
2021,B Property and deception offences,135,Ballarat
2021,B Property and deception offences,2,Ballarat
2021,B Property and deception offences,311,Ballarat
2021,B Property and deception offences,901,Ballarat
2021,B Property and deception offences,324,Ballarat
2021,B Property and deception offences,65,Ballarat
2021,B Property and deception offences,120,Ballarat
2021,B Property and deception offences,499,Ballarat
2021,B Property and deception offences,62,Ballarat
2021,B Property and deception offences,225,Ballarat
2021,B Property and deception offences,10,Ballarat
2021,B Property and deception offences,1,Ballarat
2021,C Drug offences,3,Ballarat
2021,C Drug offences,42,Ballarat
2021,C Drug offences,13,Ballarat
2021,C Drug offences,3,Ballarat
2021,C Drug offences,1,Ballarat
2021,C Drug offences,116,Ballarat
2021,C Drug offences,2,Ballarat
2021,D Public order and security offences,46,Ballarat
2021,D Public order and security offences,101,Ballarat
2021,D Public order and security offences,4,Ballarat
2021,D Public order and security offences,4,Ballarat
2021,D Public order and security offences,60,Ballarat
2021,D Public order and security offences,25,Ballarat
2021,D Public order and security offences,5,Ballarat
2021,D Public order and security offences,20,Ballarat
2021,D Public order and security offences,1,Ballarat
2021,D Public order and security offences,1,Ballarat
2021,D Public order and security offences,20,Ballarat
2021,D Public order and security offences,2,Ballarat
2021,E Justice procedures offences,2,Ballarat
2021,E Justice procedures offences,265,Ballarat
2021,E Justice procedures offences,9,Ballarat
2021,E Justice procedures offences,13,Ballarat
2021,E Justice procedures offences,17,Ballarat
